001,0
002,1
003,0
004,1
005,1
006,1
007,1
008,1
009,0
010,0
011,1
012,0
013,1
014,0
015,0
016,0
017,0
018,0
019,0
020,1
021,1
022,1
023,1
024,1
025,1
026,1
027,0
028,0
029,1
030,1
031,0
032,1
033,0
034,1
035,1
036,1
037,0
038,1
039,1
040,1
041,1
042,1
043,1
044,0
045,1
046,1
047,1
048,0
049,1
050,0
051,1
052,0
053,0
054,1
055,0
056,1
057,0
058,0
059,0
060,1
061,0
062,1
063,0
064,1
065,1
066,1
067,1
068,1
069,0
070,1
071,1
072,1
073,0
074,0
075,1
076,1
077,0
078,1
079,0
080,1
081,1
082,1
083,0
085,1
086,0
087,0
088,0
089,1
090,1
091,0
092,0
093,0
094,1
095,1
096,1
097,1
098,1
099,0
100,1
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,0
127,0
128,1
129,0
130,0
131,0
132,1
133,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
