GrupoA|asl001|0|
GrupoA|asl002|1|[ERRO] Linha 2: syntax error, unexpected TK_OC_LE, expecting ',' or ';' 
GrupoA|asl003|1|[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl004|1|[ERRO] Linha 3: syntax error, unexpected ',', expecting TK_IDENTIFICADOR 
GrupoA|asl005|1|[ERRO] Linha 3: syntax error, unexpected TK_OC_LE, expecting ',' or ';' 
GrupoA|asl006|1|[ERRO] Linha 3: syntax error, unexpected TK_OC_LE, expecting ',' or ';' 
GrupoA|asl007|1|[ERRO] Linha 3: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl008|1|[ERRO] Linha 3: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl009|0|
GrupoA|asl010|0|
GrupoA|asl011|1|[ERRO] Linha 2: syntax error, unexpected '<', expecting ',' or ';' 
GrupoA|asl012|1|[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl013|1|[ERRO] Linha 3: syntax error, unexpected end of file, expecting ',' or ';' 
GrupoA|asl014|1|[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl015|1|[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl016|1|[ERRO] Linha 4: syntax error, unexpected ',', expecting '}' 
GrupoA|asl017|1|[ERRO] Linha 5: syntax error, unexpected ',', expecting '}' 
GrupoA|asl018|1|[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl019|1|[ERRO] Linha 4: syntax error, unexpected ',', expecting '}' 
GrupoA|asl020|1|[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' 
GrupoA|asl021|1|[ERRO] Linha 4: syntax error, unexpected ' ', expecting ',' 
GrupoA|asl022|1|[ERRO] Linha 4: syntax error, unexpected ' ', expecting ',' 
GrupoA|asl023|1|[ERRO] Linha 2: syntax error, unexpected '<', expecting ',' or ';' 
GrupoA|asl024|1|[ERRO] Linha 2: syntax error, unexpected TK_OC_LE, expecting ',' or ';' 
GrupoA|asl025|0|
